0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,3,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,6,10,0,0,0,0,2,5,0,0,0,0,6,18,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,8,12,0,0,0,0,5,8,0,0,0,0,10,29,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,9,14,0,0,0,0,9,10,0,0,0,0,12,41,0,0,0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,11,17,0,0,0,0,12,11,0,0,0,0,14,54,0,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,8,0,0,0,0,13,20,0,0,0,0,14,12,0,0,0,0,17,70,0,0,0,0,1,12,0,0,0,0,0,0
0,0,0,0,0,8,0,0,0,0,14,21,0,0,0,0,15,12,0,0,0,0,19,81,0,0,0,0,1,12,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,14,22,0,0,0,0,18,13,0,0,0,0,19,86,0,0,0,0,2,13,0,0,0,0,0,0
0,0,0,0,1,8,0,0,0,0,15,22,0,0,0,0,21,13,0,0,0,0,21,90,0,0,0,0,2,13,0,0,0,0,0,0
0,0,0,0,1,9,0,0,0,0,17,24,0,0,0,0,22,13,0,0,0,0,22,86,0,0,0,0,2,13,0,0,0,0,0,0
0,0,0,0,2,9,0,0,0,0,15,26,0,0,0,0,23,13,0,0,0,0,22,77,0,0,0,0,2,13,0,0,0,0,0,0
0,0,0,0,2,10,0,0,0,0,16,27,0,0,0,0,25,14,0,0,0,0,23,71,0,0,0,0,2,14,0,0,0,0,0,0
0,0,0,0,2,11,0,0,0,0,19,27,0,0,0,0,28,15,0,0,0,0,23,68,0,0,0,0,2,14,0,0,0,0,0,0
0,0,0,0,1,11,0,0,0,0,20,28,0,0,0,0,29,17,0,0,0,0,23,65,0,0,0,0,2,14,0,0,0,0,0,0
0,0,0,0,2,11,0,0,0,0,20,28,0,0,0,0,30,16,0,0,0,0,24,63,0,0,0,0,2,14,0,0,0,0,0,0
0,0,0,0,3,12,0,0,0,0,21,28,0,0,0,0,30,16,0,0,0,0,24,63,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,13,0,0,0,0,20,29,0,0,0,0,32,15,0,0,0,0,23,61,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,3,13,0,0,0,0,19,31,0,0,0,0,33,15,0,0,0,0,23,59,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,3,14,0,0,0,0,22,31,0,0,0,0,33,16,0,0,0,0,23,60,0,0,0,0,1,12,0,0,0,0,0,0
0,0,0,0,3,14,0,0,0,0,22,31,0,0,0,0,33,16,0,0,0,0,23,61,0,0,0,0,1,12,0,0,0,0,0,0
0,0,0,0,3,15,0,0,0,0,21,32,0,0,0,0,31,15,0,0,0,0,23,63,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,3,15,0,0,0,0,22,31,0,0,0,0,30,15,0,0,0,0,23,63,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,3,15,0,0,0,0,22,31,0,0,0,0,32,15,0,0,0,0,24,65,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,3,15,0,0,0,0,22,31,0,0,0,0,34,16,0,0,0,0,24,66,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,3,15,0,0,0,0,22,32,0,0,0,0,35,16,0,0,0,0,25,67,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,3,16,0,0,0,0,22,32,0,0,0,0,36,17,0,0,0,0,25,68,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,3,17,0,0,0,0,22,32,0,0,0,0,37,17,0,0,0,0,26,69,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,16,0,0,0,0,23,33,0,0,0,0,37,17,0,0,0,0,26,70,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,16,0,0,0,0,23,34,0,0,0,0,37,17,0,0,0,0,26,70,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,17,0,0,0,0,23,33,0,0,0,0,39,18,0,0,0,0,26,71,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,16,0,0,0,0,22,33,0,0,0,0,39,18,0,0,0,0,27,73,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,15,0,0,0,0,23,33,0,0,0,0,37,17,0,0,0,0,27,75,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,2,15,0,0,0,0,23,33,0,0,0,0,36,16,0,0,0,0,27,75,0,0,0,0,1,13,0,0,0,0,0,0
0,0,0,0,2,16,0,0,0,0,24,32,0,0,0,0,35,15,0,0,0,0,27,75,0,0,0,0,2,14,0,0,0,0,0,0
0,0,0,0,2,16,0,0,0,0,22,34,0,0,0,0,40,15,0,0,0,0,29,77,0,0,0,0,1,14,0,0,0,0,0,0
0,0,0,0,3,18,0,0,0,0,22,36,0,0,0,0,43,16,0,0,0,0,29,78,0,0,0,0,2,14,0,0,0,0,0,0
0,0,0,0,3,19,0,0,0,0,25,34,0,0,0,0,40,18,0,0,0,0,28,79,0,0,0,0,2,15,0,0,0,0,0,0
